"player","g","pa","ab","r","h","x2b","x3b","hr","tb","rbi","sb","cs","sh","sf","bb","ibb","hp","so","gdp","avg","slg","obp","team","year"
"Abe, Masahiro",14,18,14,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,0,0,0.067,"l",2012
"Akiyama, Shogo",107,450,403,50,118,17,8,4,163,37,10,5,15,1,28,0,3,70,7,0.293,0.404,0.343,"l",2012
"Asamura, Hideto",114,459,404,52,99,18,7,7,152,37,13,6,13,4,34,0,4,63,9,0.245,0.376,0.307,"l",2012
"Carter, Chris",59,138,126,9,37,8,0,4,57,27,0,0,0,1,10,0,1,22,3,0.294,0.452,0.348,"l",2012
"Fujita, Taiyo",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Fujiwara, Ryohei",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"German, Esteban",144,583,507,55,137,20,4,3,174,60,41,13,10,5,57,1,4,75,20,0.27,0.343,0.346,"l",2012
"Gonzalez, Enrique",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Hara, Takuya",86,138,113,12,19,4,0,0,23,3,1,0,7,1,14,0,3,22,1,0.168,0.204,0.275,"l",2012
"Hayashizaki, Ryo",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Hirano, Masamitsu",3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"l",2012
"Hirao, Hiroshi",12,16,15,0,2,0,0,0,2,2,0,0,0,0,1,0,0,3,1,0.133,0.133,0.188,"l",2012
"Hoshi, Hidekazu",71,115,100,12,19,4,1,1,28,9,3,0,11,1,3,0,0,16,0,0.19,0.28,0.212,"l",2012
"Hoshi, Takanori",29,23,21,2,3,0,0,0,3,0,0,0,1,0,0,0,1,4,0,0.143,0.143,0.182,"l",2012
"Hoshino, Tomoki",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Ishii, Kazuhisa",24,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,"l",2012
"Ishikawa, Mitsugu",7,10,9,1,2,0,0,0,2,0,2,0,0,0,0,0,1,2,0,0.222,0.222,0.3,"l",2012
"Kataoka, Yasuyuki",52,231,204,26,46,6,1,2,60,19,8,7,7,4,15,0,1,30,6,0.225,0.294,0.277,"l",2012
"Kikuchi, Yusei",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Kimura, Fumikazu",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Kishi, Takayuki",26,10,9,2,3,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0.333,0.333,0.333,"l",2012
"Koishi, Hirotaka",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Kumashiro, Masato",109,133,115,14,31,2,0,0,33,6,2,1,12,1,3,0,2,30,1,0.27,0.287,0.298,"l",2012
"Kuriyama, Takumi",103,467,394,57,114,17,1,2,139,33,3,1,12,3,52,0,6,62,4,0.289,0.353,0.378,"l",2012
"Makita, Kazuhisa",27,11,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,"l",2012
"Matsunaga, Hironori",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Miyata, Kazuki",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Nagae, Kyohei",27,34,27,0,1,0,0,0,1,0,0,0,7,0,0,0,0,11,0,0.037,0.037,0.037,"l",2012
"Nakajima, Hiroyuki",136,567,499,69,155,29,1,13,225,74,7,6,1,6,52,3,9,76,10,0.311,0.451,0.382,"l",2012
"Nakamura, Micheal",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Nakamura, Takeya",123,498,432,54,100,16,1,27,199,79,2,3,0,1,56,1,9,125,11,0.231,0.461,0.331,"l",2012
"Nakata, Shota",2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Nishiguchi, Fumiya",14,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0.167,0.167,0.167,"l",2012
"Nogami, Ryoma",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Oishi, Tatsuya",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Okamoto, Atsushi",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Okamoto, Yosuke",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Onizaki, Yuji",57,22,17,4,2,0,1,0,4,0,0,0,3,0,2,0,0,4,0,0.118,0.235,0.211,"l",2012
"Ortiz, Jose",64,214,199,20,57,8,0,9,92,21,0,1,0,0,14,0,1,38,8,0.286,0.462,0.336,"l",2012
"Osada, Shuichiro",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Osaki, Yutaro",107,298,260,22,70,15,1,1,90,22,1,0,10,4,17,1,7,27,4,0.269,0.346,0.326,"l",2012
"Oshima, Hiroyuki",5,9,9,1,2,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0.222,0.333,0.222,"l",2012
"Saito, Shogo",29,27,27,2,6,2,0,0,8,0,0,3,0,0,0,0,0,11,0,0.222,0.296,0.222,"l",2012
"Sakata, Ryo",16,50,44,4,10,0,0,0,10,3,0,0,2,0,4,0,0,12,1,0.227,0.227,0.292,"l",2012
"Sato, Tomoaki",12,16,14,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0.071,0.071,0.071,"l",2012
"Shima, Shigenobu",27,82,74,2,13,2,0,1,18,7,0,1,0,1,7,0,0,11,1,0.176,0.243,0.244,"l",2012
"Sumitani, Ginjiro",139,414,360,23,70,12,1,0,84,23,0,2,35,1,17,0,1,74,9,0.194,0.233,0.232,"l",2012
"Takayama, Hisashi",35,57,54,6,11,1,0,1,15,4,1,0,0,0,3,0,0,16,0,0.204,0.278,0.246,"l",2012
"Takekuma, Shota",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Tanaka, Yasuhiro",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Tashiro, Shotaro",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Togame, Ken",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Uemoto, Tatsuyuki",74,130,116,10,27,3,0,2,36,11,0,3,2,1,10,0,1,31,2,0.233,0.31,0.297,"l",2012
"Wakui, Hideaki",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Williams, Randy",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Yamamoto, Jun",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2012
"Yoneno, Tomohito",32,64,58,3,12,1,0,1,16,6,0,0,1,0,4,0,1,17,1,0.207,0.276,0.27,"l",2012
"Akiyama, Shogo",144,634,564,89,152,25,7,13,230,58,13,6,12,2,49,1,7,89,8,0.27,0.408,0.334,"l",2013
"Asamura, Hideto",144,620,543,85,172,38,5,27,301,110,14,8,7,4,61,3,5,88,9,0.317,0.554,0.388,"l",2013
"Carter, Chris",14,34,30,0,4,0,0,0,4,3,0,0,0,1,3,0,0,11,2,0.133,0.133,0.206,"l",2013
"Fujiwara, Ryohei",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"German, Esteban",144,623,518,74,165,22,3,4,205,55,40,20,8,5,85,0,7,87,20,0.319,0.396,0.418,"l",2013
"Hayashizaki, Ryo",31,36,33,4,5,0,0,0,5,1,0,0,1,0,2,0,0,12,0,0.152,0.152,0.2,"l",2013
"Hoshi, Hidekazu",12,13,11,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0.154,"l",2013
"Hoshi, Takanori",40,29,28,0,5,0,0,0,5,1,1,0,0,0,0,0,1,6,0,0.179,0.179,0.207,"l",2013
"Ishii, Kazuhisa",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
"Ishikawa, Mitsugu",16,25,23,5,3,0,0,0,3,1,1,0,1,0,1,0,0,6,0,0.13,0.13,0.167,"l",2013
"Iwao, Toshihiro",10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"l",2013
