"pitcher","g","w","l","sv","hld","cg","sho","pct","bf","ip","x","h","hr","bb","ibb","hb","so","wp","bk","r","er","era","team","year","innings"
"Fujita, Taiyo",3,0,0,0,0,0,0,0,21,3,0.2,9,2,1,0,1,3,0,0,6,6,14.73,"l",2012,3.67
"Fujiwara, Ryohei",1,0,0,0,0,0,0,0,18,2,0.1,8,1,3,0,0,0,1,0,5,5,19.29,"l",2012,2.33
"Gonzalez, Enrique",16,2,5,3,0,0,0,0.286,121,23,0,40,2,12,3,3,16,3,1,19,18,7.04,"l",2012,23
"Hirano, Masamitsu",3,0,0,0,0,0,0,0,61,14,0,19,3,2,0,0,5,1,0,6,5,3.21,"l",2012,14
"Hoshino, Tomoki",6,0,0,0,0,0,0,0,19,3,0.1,7,0,2,1,0,4,0,0,4,4,10.8,"l",2012,3.33
"Ishii, Kazuhisa",24,10,5,0,0,2,2,0.667,560,132,0.1,126,14,44,0,4,74,4,0,57,49,3.33,"l",2012,132.33
"Kikuchi, Yusei",14,4,3,1,0,0,0,0.571,339,81,0.1,75,5,25,0,1,57,3,0,34,28,3.1,"l",2012,81.33
"Kimura, Fumikazu",8,0,0,0,0,0,0,0,59,14,0,13,0,7,0,0,6,3,0,7,7,4.5,"l",2012,14
"Kishi, Takayuki",26,11,12,0,0,4,1,0.478,729,187,0.2,141,9,40,0,4,150,3,0,52,51,2.45,"l",2012,187.67
"Koishi, Hirotaka",9,1,1,0,0,0,0,0.5,100,22,0.1,18,1,15,1,3,7,3,0,10,10,4.03,"l",2012,22.33
"Makita, Kazuhisa",27,13,9,0,0,3,1,0.591,739,178,0,175,4,36,0,9,108,0,1,55,48,2.43,"l",2012,178
"Matsunaga, Hironori",56,2,1,0,12,0,0,0.667,173,40,0.2,44,4,7,1,2,31,1,0,17,16,3.54,"l",2012,40.67
"Miyata, Kazuki",3,0,0,0,0,0,0,0,12,2,0.2,0,0,3,0,1,4,1,0,0,0,0,"l",2012,2.67
"Nakamura, Micheal",17,0,3,1,4,0,0,0,96,22,0,22,1,7,1,2,20,3,0,12,7,2.86,"l",2012,22
"Nishiguchi, Fumiya",14,5,2,0,0,0,0,0.714,347,81,0.2,77,4,29,0,1,44,2,0,35,34,3.75,"l",2012,81.67
"Nogami, Ryoma",23,8,5,0,0,0,0,0.615,496,115,0.1,128,8,36,0,5,49,4,0,42,38,2.97,"l",2012,115.33
"Oishi, Tatsuya",24,1,1,0,1,0,0,0.5,160,36,0,39,2,12,0,4,24,3,0,15,11,2.75,"l",2012,36
"Okamoto, Atsushi",59,1,3,2,15,0,0,0.25,255,57,0,66,5,17,1,4,39,0,0,32,26,4.11,"l",2012,57
"Okamoto, Yosuke",1,0,1,0,0,0,0,0,18,3,0,7,0,1,0,1,1,3,0,5,5,15,"l",2012,3
"Osada, Shuichiro",53,2,1,1,26,0,0,0.667,181,46,0.1,28,5,11,2,2,26,0,0,16,13,2.53,"l",2012,46.33
"Takekuma, Shota",14,1,2,0,2,0,0,0.333,145,31,0.2,34,2,12,1,4,17,4,0,21,17,4.83,"l",2012,31.67
"Tanaka, Yasuhiro",5,0,0,0,0,0,0,0,40,8,0.1,10,1,6,0,0,6,0,0,6,6,6.48,"l",2012,8.33
"Togame, Ken",41,6,0,0,9,0,0,1,223,53,0,50,4,17,2,3,41,1,0,16,16,2.72,"l",2012,53
"Wakui, Hideaki",55,1,5,30,3,0,0,0.167,271,63,0,66,1,22,1,2,40,1,0,27,26,3.71,"l",2012,63
"Williams, Randy",55,4,3,4,25,0,0,0.571,185,42,0.1,30,0,23,2,7,41,2,2,11,8,1.7,"l",2012,42.33
"Yamamoto, Jun",4,0,1,0,0,0,0,0,47,9,0.2,12,1,6,0,1,3,1,0,8,7,6.52,"l",2012,9.67
"Fujiwara, Ryohei",2,0,0,0,0,0,0,0,10,2,0,3,1,1,0,1,2,0,0,4,4,18,"l",2013,2
"Ishii, Kazuhisa",7,0,1,0,3,0,0,0,25,5,0.1,5,2,4,0,0,5,0,0,4,4,6.75,"l",2013,5.33
"Iwao, Toshihiro",10,1,0,0,1,0,0,1,64,12,0.1,16,2,10,1,0,3,2,0,13,13,9.49,"l",2013,12.33
"Kawasaki, Yusuke",8,0,0,0,0,0,0,0,20,4,0.2,5,0,3,0,0,0,0,0,3,3,5.79,"l",2013,4.67
"Kikuchi, Yusei",17,9,4,0,0,3,3,0.692,441,108,0,79,5,44,0,3,92,2,0,28,23,1.92,"l",2013,108
"Kishi, Takayuki",26,11,5,0,0,3,2,0.688,716,178,0.1,155,17,31,1,6,138,6,0,63,61,3.08,"l",2013,178.33
"Koishi, Hirotaka",11,0,0,0,1,0,0,0,63,12,0.2,18,1,8,0,1,12,1,0,15,15,10.66,"l",2013,12.67
"Makita, Kazuhisa",26,8,9,0,0,3,1,0.471,690,166,0,169,13,39,1,9,87,2,0,54,48,2.6,"l",2013,166
"Masuda, Tatsushi",42,5,3,0,5,0,0,0.625,237,52,0.2,60,3,19,2,1,44,1,0,25,22,3.76,"l",2013,52.67
"Matsushita, Kenta",9,0,1,1,0,0,0,0,44,10,0.1,11,0,2,0,2,7,2,0,4,4,3.48,"l",2013,10.33
"Nakazaki, Yuta",7,0,0,0,0,0,0,0,53,9,0.2,19,2,5,1,0,3,0,0,12,10,9.31,"l",2013,9.67
"Nishiguchi, Fumiya",4,0,2,0,0,0,0,0,58,10,0.2,18,2,9,0,0,7,0,0,10,10,8.44,"l",2013,10.67
"Nogami, Ryoma",30,11,7,0,1,0,0,0.611,643,152,0.2,141,17,41,1,8,93,3,0,71,67,3.95,"l",2013,152.67
"Oishi, Tatsuya",37,0,5,8,2,0,0,0,166,36,0.2,43,7,12,2,1,44,1,0,28,26,6.38,"l",2013,36.67
"Okamoto, Atsushi",20,0,1,0,6,0,0,0,91,18,0,29,1,8,0,0,12,0,0,13,9,4.5,"l",2013,18
"Okamoto, Yosuke",32,4,4,0,6,1,0,0.5,333,77,0.1,83,5,24,0,5,55,3,0,35,33,3.84,"l",2013,77.33
"Osada, Shuichiro",16,0,2,0,3,0,0,0,69,15,0.1,17,1,4,0,1,12,1,0,9,9,5.28,"l",2013,15.33
"Sakamoto, Yataro",11,0,2,0,2,0,0,0,77,17,0.1,15,1,11,1,0,14,2,0,11,10,5.19,"l",2013,17.33
"Sarfate, Dennis",58,9,1,10,16,0,0,0.9,229,57,0.2,29,4,24,1,4,66,1,0,13,12,1.87,"l",2013,57.67
"Takahashi, Tomomi",24,1,0,0,10,0,0,1,77,18,0.2,10,1,11,0,1,28,1,0,7,7,3.38,"l",2013,18.67
"Takekuma, Shota",9,1,1,0,1,0,0,0.5,54,13,0.2,10,3,6,0,0,4,1,0,5,5,3.29,"l",2013,13.67
"Togame, Ken",28,8,8,0,1,6,2,0.5,688,164,0.1,158,12,44,1,9,122,3,1,68,63,3.45,"l",2013,164.33
"Wakui, Hideaki",45,5,7,7,13,1,0,0.417,398,92,0.1,89,4,29,1,8,79,5,0,51,40,3.9,"l",2013,92.33
"Williams, Randy",47,1,2,3,21,0,0,0.333,158,38,0,20,1,23,3,3,45,0,0,11,8,1.89,"l",2013,38
"Yamamoto, Jun",12,0,1,0,0,0,0,0,74,16,0,21,1,7,0,2,10,0,0,5,4,2.25,"l",2013,16
"Aiuchi, Makoto",2,0,2,0,0,0,0,0,30,4,0.1,8,2,6,0,2,3,0,0,8,7,14.54,"l",2014,4.33
"Bowden, Michael",36,2,1,0,5,0,0,0.667,179,40,0,38,4,24,2,1,30,3,3,20,20,4.5,"l",2014,40
"Fujiwara, Ryohei",20,2,6,0,3,0,0,0.25,229,50,0.1,56,2,25,0,6,30,3,0,30,27,4.83,"l",2014,50.33
"Hirano, Masamitsu",7,0,0,0,1,0,0,0,43,8,0.1,10,1,8,1,0,4,0,0,8,8,8.64,"l",2014,8.33
"Iwao, Toshihiro",13,1,0,0,1,0,0,1,79,20,0,15,0,4,0,2,21,1,0,6,4,1.8,"l",2014,20
"Kikuchi, Yusei",23,5,11,0,0,1,0,0.313,615,139,0.2,133,9,78,0,5,111,7,1,61,55,3.54,"l",2014,139.67
"Kishi, Takayuki",23,13,4,0,0,5,4,0.765,630,161,0.1,126,16,36,0,2,126,0,0,48,45,2.51,"l",2014,161.33
"Kobayashi, Hiroyuki",15,0,0,0,3,0,0,0,59,11,0.1,16,1,8,0,0,10,2,0,15,10,7.94,"l",2014,11.33
"Koishi, Hirotaka",4,0,2,0,0,0,0,0,71,16,0,14,2,7,0,2,8,0,0,8,7,3.94,"l",2014,16
"Makita, Kazuhisa",26,8,9,0,0,0,0,0.471,734,170,0.2,170,10,50,0,12,89,0,0,74,71,3.74,"l",2014,170.67
"Masuda, Tatsushi",44,3,4,0,22,0,0,0.429,181,44,0.2,35,3,13,4,1,37,0,0,14,14,2.82,"l",2014,44.67
"Miyata, Kazuki",10,0,0,0,1,0,0,0,63,14,0.2,14,1,8,0,0,17,2,0,3,3,1.84,"l",2014,14.67
"Nakago, Taiki",14,1,0,0,1,0,0,1,109,22,0.1,31,5,11,3,0,7,2,0,16,16,6.45,"l",2014,22.33
"Nishiguchi, Fumiya",8,0,0,0,0,0,0,0,51,11,0,10,3,8,0,3,11,1,0,10,6,4.91,"l",2014,11
"Nogami, Ryoma",25,8,10,0,1,2,0,0.444,522,120,0.1,123,15,42,1,5,68,6,0,68,60,4.49,"l",2014,120.33
"Okamoto, Atsushi",42,1,1,0,11,0,0,0.5,178,39,0.1,44,1,22,1,1,28,2,0,12,12,2.75,"l",2014,39.33
"Okamoto, Yosuke",22,2,6,0,0,0,0,0.25,371,84,0.1,96,8,32,0,2,53,5,0,47,38,4.06,"l",2014,84.33
"Reynolds, Greg",12,3,7,0,0,0,0,0.3,281,61,0,77,5,23,0,5,29,0,2,47,37,5.46,"l",2014,61
"Takahashi, Tomomi",63,2,1,29,13,0,0,0.667,258,62,0.2,47,2,24,2,1,80,3,0,15,14,2.01,"l",2014,62.67
"Takekuma, Shota",47,0,1,0,8,0,0,0,206,48,0.2,39,2,22,1,2,33,3,0,20,20,3.7,"l",2014,48.67
"Tanaka, Yasuhiro",8,0,1,0,0,0,0,0,35,7,0,11,1,5,0,1,2,0,0,5,5,6.43,"l",2014,7
"Togame, Ken",21,4,5,3,2,1,1,0.444,255,59,0,59,6,24,1,2,41,1,0,27,24,3.66,"l",2014,59
"Toyoda, Takuya",34,2,2,0,2,0,0,0.5,172,39,0.2,48,5,10,0,2,17,1,0,20,20,4.54,"l",2014,39.67
"Williams, Randy",60,6,4,0,20,0,0,0.6,230,51,0.2,54,1,25,3,4,59,3,0,18,17,2.96,"l",2014,51.67
"Fujiwara, Ryohei",7,0,1,0,1,0,0,0,52,11,0.1,10,1,8,0,1,7,0,0,9,9,7.15,"l",2015,11.33
"Fukukura, Kentaro",1,0,0,0,0,0,0,0,10,2,0,1,0,4,0,0,2,0,0,1,1,4.5,"l",2015,2
"Iwao, Toshihiro",21,1,0,0,3,0,0,1,140,29,0,34,0,18,0,3,29,2,0,22,21,6.52,"l",2015,29
"Kikuchi, Yusei",23,9,10,0,0,0,0,0.474,542,133,0,97,9,55,1,2,122,5,1,48,42,2.84,"l",2015,133
"Kishi, Takayuki",16,5,6,0,0,5,0,0.455,434,110,0.1,75,6,25,0,5,91,0,0,40,37,3.02,"l",2015,110.33
"Koishi, Hirotaka",3,0,0,0,0,0,0,0,23,5,0,5,2,0,0,2,5,0,0,6,4,7.2,"l",2015,5
"Kuo, Chun-Lin",21,3,7,0,0,0,0,0.3,377,79,0.2,97,10,37,1,7,49,3,1,55,47,5.31,"l",2015,79.67
"LeBlanc, Wade",8,2,5,0,0,1,0,0.286,196,44,0.2,43,6,18,1,2,26,3,0,26,21,4.23,"l",2015,44.67
"Makita, Kazuhisa",34,9,11,3,0,1,0,0.45,596,137,0.2,143,7,44,2,11,66,1,0,68,56,3.66,"l",2015,137.67
"Masuda, Tatsushi",72,2,4,3,40,0,0,0.333,302,74,0,64,1,15,2,4,62,2,0,26,25,3.04,"l",2015,74
"Mejia, Miguel",4,0,0,0,0,0,0,0,23,3,0.2,10,1,3,0,0,4,1,0,6,6,14.73,"l",2015,3.67
"Miyata, Kazuki",18,1,0,0,0,0,0,1,91,19,0,19,3,15,0,0,15,2,0,11,11,5.21,"l",2015,19
"Nishiguchi, Fumiya",2,0,1,0,0,0,0,0,19,4,0,6,1,1,0,0,4,1,0,4,4,9,"l",2015,4
"Nogami, Ryoma",27,7,7,0,0,0,0,0.5,565,134,0.1,127,15,46,0,4,77,1,0,68,63,4.22,"l",2015,134.33
"Oishi, Tatsuya",3,0,0,0,0,0,0,0,13,3,0.1,3,0,1,0,0,3,0,0,0,0,0,"l",2015,3.33
"Okamoto, Atsushi",23,1,0,0,5,0,0,1,89,20,0.2,25,2,2,0,2,8,1,0,9,7,3.05,"l",2015,20.67
"Okamoto, Yosuke",42,1,2,0,6,0,0,0.333,284,68,0.1,62,12,20,1,6,43,1,2,34,33,4.35,"l",2015,68.33
"Sano, Yasuo",2,0,0,0,0,0,0,0,26,5,0,6,1,5,0,0,4,0,0,4,3,5.4,"l",2015,5
"Takahashi, Kona",8,5,2,0,0,1,1,0.714,185,44,0,32,3,23,0,4,22,2,1,16,15,3.07,"l",2015,44
"Takahashi, Tomomi",62,2,3,22,14,0,0,0.4,264,61,0.2,49,3,26,1,5,55,2,0,21,20,2.92,"l",2015,61.67
"Takekuma, Shota",67,6,1,1,11,0,0,0.857,255,57,0.1,55,1,36,2,1,36,4,0,18,18,2.83,"l",2015,57.33
"Tanaka, Yasuhiro",18,1,1,1,0,0,0,0.5,105,26,0.2,23,1,7,0,0,13,0,0,4,4,1.35,"l",2015,26.67
"Togame, Ken",26,11,7,0,0,1,0,0.611,644,152,0,145,19,53,0,8,107,1,0,62,60,3.55,"l",2015,152
"Toyoda, Takuya",3,0,0,0,0,0,0,0,15,3,0.2,1,0,4,1,0,2,0,0,0,0,0,"l",2015,3.67
"Vasquez, Esmerling",34,3,1,0,9,0,0,0.75,161,34,0.2,40,0,21,3,3,21,3,0,15,14,3.63,"l",2015,34.67
"Aiuchi, Makoto",2,0,2,0,0,0,0,0,37,7,0.2,11,0,7,0,0,4,1,2,10,10,11.74,"l",2016,7.67
"Fujiwara, Ryohei",10,2,0,0,1,0,0,1,52,13,0,11,0,3,0,1,9,0,0,3,3,2.08,"l",2016,13
"Honda, Keisuke",2,0,1,0,0,0,0,0,23,4,0.2,8,0,1,0,1,3,0,0,4,4,7.71,"l",2016,4.67
"Iwao, Toshihiro",2,0,0,0,0,0,0,0,13,3,0,5,0,2,0,0,1,0,0,3,3,9,"l",2016,3
"Kikuchi, Yusei",22,12,7,0,0,2,0,0.632,595,143,0,117,7,67,0,2,127,3,0,51,41,2.58,"l",2016,143
"Kishi, Takayuki",19,9,7,0,0,2,1,0.563,541,130,0.1,123,8,36,0,1,104,0,0,42,36,2.49,"l",2016,130.33
"Koishi, Hirotaka",50,0,2,1,2,0,0,0,324,74,0.2,62,2,39,2,13,55,3,0,33,31,3.74,"l",2016,74.67
"Kokuba, Tsubasa",2,0,0,0,0,0,0,0,12,3,0,2,0,3,0,0,4,1,0,0,0,0,"l",2016,3
"Kuo, Chun-Lin",12,0,3,0,0,0,0,0,107,22,0.1,28,2,10,0,4,20,2,0,23,21,8.46,"l",2016,22.33
"Lee, Chen-Chang",18,0,0,0,1,0,0,0,80,16,0.2,25,1,5,0,0,13,3,1,14,12,6.48,"l",2016,16.67
"Makita, Kazuhisa",50,7,1,0,25,0,0,0.875,312,78,0.2,54,3,16,2,10,43,0,0,15,14,1.6,"l",2016,78.67
"Masuda, Tatsushi",53,3,5,28,5,0,0,0.375,232,54,0.1,51,1,15,5,2,53,0,0,13,10,1.66,"l",2016,54.33
"Matsumoto, Naoaki",2,0,0,0,0,0,0,0,12,2,0.2,3,0,2,0,0,1,1,0,0,0,0,"l",2016,2.67
